pubDate,title
2026-04-26 14:00:01,Apple’s Cook Gives Ternus a Pipeline of 10 Major New Product Categories - Bloomberg
2026-04-27 20:40:09,Former Apple CEO sees OpenAI poses largest competitive threat to tech giant in years - Fox Business
2026-04-27 23:31:29,Steve Jobs Called This Former Apple CEO A 'Bozo' But The Executive Proved An Important Point That Stuck With Him - Yahoo Finance
2026-04-28 17:32:00,"Apple's CEOs, Intel & AI, and Another SaaSpocalype - The Motley Fool"
2026-04-28 10:14:58,Tim Cook Reveals the First Thing He Did as CEO Every Day. It’s a Leadership Habit Everyone Should Steal - inc.com
2026-04-22 00:30:00,Tim Cook to Step Down After 15 Years as Apple CEO - CNET
2026-04-24 07:00:00,Watch Tim Cook’s Trump Diplomacy Is Only Part Of His Legacy As Apple CEO - WIRED
2026-04-28 18:50:00,Tim Cook attends White House as King Charles III visits the U.S. - AppleInsider
2026-04-23 12:00:00,John Ternus is taking over from Tim Cook as Apple’s CEO - The Verge
2026-04-25 13:30:00,Tim Cook built Apple into a $4 trillion company. Then his greatest strength became his biggest liability - Fortune
2026-04-26 21:00:00,"John Ternus, Apple’s new CEO, inherits a rebounding China business—and some messy headaches - Fortune"
2026-04-28 15:18:00,Tim Cook attending White House event one week after announcing Apple CEO transition - 9to5Mac
2026-04-24 15:07:41,"5 Tall Tasks for John Ternus, Apple’s Next C.E.O. - The New York Times"
2026-04-28 20:38:24,"TV in 3: Apple’s New CEO, Hollywood’s Big Questions - The Ankler"
2026-04-28 18:55:03,Can Apple’s new CEO turn things around? - Computerworld
2026-04-20 07:00:00,Tim Cook to become Apple Executive Chairman John Ternus to become Apple CEO - Apple
2026-04-24 15:00:00,Apple's Next CEO Needs to Launch a Killer AI Product - WIRED
2026-04-21 00:40:00,"That was Tim, this is Ternus: Some first thoughts on Apple’s CEO transition - Six Colors"
2026-04-28 01:30:54,"John Ternus, Next CEO of Apple, is a University of Pennsylvania Alum - PHILADELPHIA.Today"
2026-04-24 20:09:00,Tim Cook says Apple Maps release was a 'really big mistake' - USA Today
2026-04-26 09:04:30,Apple’s CEO transition is one of the most carefully choreographed in corporate history. Here's what comes next - Fast Company
2026-04-28 11:33:51,What the MacBook Neo’s Runaway Success Tells Us About Apple’s New CEO - inc.com
2026-04-26 15:50:00,Why the timing of Apple’s CEO transition matters - 9to5Mac
2026-04-27 11:36:00,Apple’s longtime CEO sat out the crypto revolution. His successor should choose a different path - Fortune
2026-04-20 07:00:00,Tim Cook Will Step Down as Apple C.E.O. - The New York Times
2026-04-28 12:49:44,Apple's New CEO Is a Hardware Engineer. Is the iPhone About to Change? - PCMag UK
2026-04-27 10:30:00,Apple’s new CEO is just the right amount of Steve Jobs - Macworld
2026-04-20 07:00:00,A New Apple C.E.O. - The New York Times
2026-04-28 21:45:00,This Is Tim Cook's Biggest Regret From His Time At Apple - SlashGear
2026-04-21 15:43:01,Apple's new CEO John Ternus steps into the spotlight after flying under the radar for years - PBS
2026-04-25 15:00:00,Apple under Ternus: what comes next for the tech giant’s hardware strategy - TechCrunch
2026-04-23 13:04:00,John Ternus’ promotion to Apple CEO may have claimed its first casualty - Macworld
2026-04-20 07:00:00,Apple CEO Tim Cook is stepping down - Axios
2026-04-21 16:07:49,New Apple CEO John Ternus doubted himself when he started: 'I wasn't sure I belonged' - CNBC
2026-04-20 07:00:00,"Tim Cook to step down as Apple CEO. In letter, describes 15 years of emails - NPR"
2026-04-21 16:54:51,New Apple CEO John Ternus faces 7 big challenges as Tim Cook steps down - Yahoo Finance
2026-04-20 07:00:00,Johny Srouji named Apple’s Chief Hardware Officer - Apple
2026-04-22 14:27:00,"Who is John Ternus, new Apple CEO? - The Hill"
2026-04-28 23:20:00,Apple cofounder who missed out on $400B fortune promotes Busch Light Apple beer - New York Post
2026-04-20 07:00:00,Penn alum John Ternus named next Apple CEO - The Daily Pennsylvanian
2026-04-28 17:42:48,Tim Cook Meets With Commerce Secretary Howard Lutnick Ahead of CEO Transition - MacRumors
2026-04-20 07:00:00,"Apple taps John Ternus as CEO to replace Tim Cook, who will become chairman - CNBC"
2026-04-20 22:10:10,Tim Cook to step down as Apple CEO - Al Jazeera
2026-04-21 05:09:27,Apple incoming CEO John Ternus faces a defining challenge: Fixing the company's AI strategy - CNBC
2026-04-21 09:03:32,A Wish List for the Man Replacing Tim Cook as Apple’s C.E.O. - The New York Times
2026-04-28 10:30:00,Apple is doomed because John Ternus isn’t Elon Musk - Macworld
2026-04-22 05:09:45,Apple CEO Cook is lauded by investors as he prepares for new role - Reuters
2026-04-25 11:05:45,Apple CEO change could put Houston in the tech spotlight - Houston Chronicle
2026-04-20 22:58:38,"Who is John Ternus, Apple's CEO replacement for Tim Cook? - LiveNOW from FOX"
2026-04-20 07:00:00,Apple CEO Tim Cook Is Stepping Down - WIRED
2026-04-20 07:00:00,"Tim Cook reactions: Trump, Altman, Buffett and more on the Apple CEO move - CNBC"
2026-04-28 15:38:33,Life lessons from incoming Apple CEO John Ternus that are a masterclass for Gen Z - The Economic Times
2026-04-20 07:00:00,Former advisor to Steve Jobs says new Apple CEO is exactly what's needed: an engineer from the inside - GeekWire
2026-04-27 13:00:04,A wish list for the man replacing Tim Cook as Apple’s CEO | Commentary - The Seattle Times
2026-04-24 16:06:47,The MacRumors Show: Tim Cook to Step Down as Apple CEO - MacRumors
2026-04-20 07:00:00,"Apple CEO Tim Cook is stepping down, and hardware boss John Ternus will be the new CEO - Fortune"
2026-04-27 13:00:29,Tim Cook Avoided CEO Hysterics. And It Made Apple a Trillion-Dollar Company - PCMag
