pubDate,title
2026-04-28 11:00:00,Thomas Tuchel and England's biggest World Cup headache is obvious 50 days from opener - The Mirror
2026-04-28 10:01:32,"Corteen-Coleman, 18, in England T20 World Cup squad - BBC"
2026-04-27 21:02:51,Luke Shaw hands Man Utd and England injury scare just weeks before World Cup as he is forced off against Brentford - the-sun.com
2026-04-28 12:22:00,"England star, 31, set to be released weeks before World Cup as he breaks down in emotional exit video after 10 years - The Sun"
2026-04-27 08:14:06,Jesse Lingard assesses England's World Cup chances & reveals contact with Neymar after surprise Corinthians transfer - Goal.com
2026-04-28 11:00:00,44 Days to the World Cup: When all of Panama celebrated the team’s first World Cup goal - Yahoo Sports
2026-04-26 14:10:05,Two England stars told position under threat if Eberechi Eze starts at World Cup - talkSPORT
2026-04-28 10:47:19,Corteen-Coleman named in England Women's T20 World Cup squad - ESPNcricinfo
2026-04-28 11:48:16,England star mocked by his own teammate as he faces World Cup snub - GB News
2026-04-28 17:12:05,Women's T20 World Cup: Tilly Corteen-Coleman reacts to England call-up - BBC
2026-04-27 07:00:00,"England's World Cup 2026 fixtures, schedule and tournament route to final - how Three Lions could lift trophy on July 19 - Sky Sports"
2026-04-28 04:07:03,"England 2026 World Cup watch: Rice, O’Reilly and why Tuchel can lean on other worthy influencers - The Athletic - The New York Times"
2026-04-11 07:00:00,"Predicting England's 2026 World Cup squad: Who will Thomas Tuchel take, who's on the fringes? - ESPN"
2026-04-28 10:01:37,Corteen-Coleman in England T20 World Cup squad - Yahoo Sports Canada
2026-04-28 09:13:28,'I have to say that' - Erling Haaland reveals he cheered on rival nation when Norway weren't playing at the World Cup - the-sun.com
2026-04-09 07:00:00,Inter&Co Stadium set to host England in Pre-World Cup match against Costa Rica on June 10 - Orlando City
2026-04-28 22:00:24,World Cup stories: Look at that barnet! The worst haircuts in tournament history - DAZN
2026-04-28 03:11:17,"Drug use in England spikes during World Cup football matches and Eurovision, study finds - AOL.com"
2026-04-27 06:14:06,Jesse Lingard assesses England's World Cup chances & reveals contact with Neymar after surprise Corinthians transfer - FOX Sports
2026-02-11 08:00:00,England select Swope Soccer Village for Team Base Camp Training Site during FIFA World Cup 2026 - Sporting Kansas City
2026-04-28 18:56:24,Rio Ferdinand explains surprise World Cup decision after 'humbling' experience hosting draw - SPORTbible
2026-04-27 07:00:00,Full 2026 World Cup schedule by day - Sky Sports
2026-04-24 17:07:00,England given World Cup worry with Tino Livramento injury - ESPN
2026-04-03 07:00:00,"England’s World Cup starting XI: Who our writers are picking, and who drops out - The New York Times"
2026-04-28 17:07:44,Tilly Corteen-Coleman: Who is England's new left-arm spinner and what does she offer? - BBC
2026-04-28 16:20:20,Davina Perrin left out as England name Women's T20 World Cup squad which is led by skipper Nat Sciver-Brunt - Sky Sports
2026-04-01 07:00:00,Plotting England’s possible path to World Cup glory - The New York Times
2026-04-28 20:12:39,Nasser Hussain and Charles Dagnall discuss who they think will make England's Women's T20 World Cup squad - Sky Sports
2026-04-28 19:28:00,Fears Spurs and England star Solanke 'could miss World Cup with injury' - The Sun
