pubDate,title
2026-04-28 21:40:42,FIFA introduces new World Cup red-card rules to combat racism - France 24
2026-04-22 06:36:20,50 days to go until 2026 World Cup: France’s attack is electrifying. Can they go all the way? - The Athletic - The New York Times
2026-04-26 23:00:00,World Cup kit ranking: Which teams will look best in 2026? - ESPN
2026-04-28 20:37:30,"Ex-Prem ace and World Cup winner, 39, 'set for recall three years after exit' - the-sun.com"
2026-04-28 21:04:00,Lloris Eyes World Cup Comeback as Third Goalkeeper - 조선일보
2026-04-25 03:51:00,2026 World Cup Odds: France Joins Spain as Co-Favorites After Lamine Yamal Injury - FOX Sports
2026-04-28 10:28:38,France: M6 expects strong World Cup viewership - Advanced Television
2026-04-26 04:00:00,History repeats itself for auld rivals - FIFA
2026-04-27 18:39:01,"France World Cup Games: Opponents, Locations, & Dates - betmgm.com"
2026-03-26 07:00:00,Bienvenue! Bentley University Selected as Training Site for French National Team During FIFA World Cup 26™ - Bentley University
2026-04-28 17:21:57,Will Lloris Participate with France in the World Cup? - ysscores.com
2026-04-27 10:30:26,France and Kylian Mbappe Dealt Injury Scare Before World Cup 2026 - Athlon Sports
2026-04-02 07:00:00,France Leads 2026 World Cup Revolt Over Staggering Costs—Report - Sports Illustrated
2026-04-27 14:46:53,You Can Match This Nike Air Max Plus to France's 2026 World Cup™ Away Kit - House of Heat°
2026-04-28 07:10:27,World Cup winner dreams of ending five-year France exile after career revival - talkSPORT
2026-04-02 07:00:00,"France World Cup 2026 Schedule: Locations, Dates, Times - FOX Sports"
2026-04-02 07:00:00,Is Kylian Mbappe a leader who can take France to World Cup glory? - The Athletic - The New York Times
2026-04-28 21:16:00,Hugo Lloris may reverse retirement to join France squad for 2026 World Cup - CHOSUNBIZ - Chosunbiz
2026-04-27 12:17:00,Real Madrid confirm Kylian Mbappé has hamstring injury - ESPN
2026-04-28 19:33:02,World Cup Contenders Hit by Star Injuries - 조선일보
2025-12-06 08:00:00,"Brazil, France highlight 2026 World Cup Matches coming to Philadelphia - Philadelphia Union"
2026-04-01 07:00:00,France to face Iraq in the 2026 World Cup group stage - Yahoo Sports
2026-03-25 07:00:00,France to set up 2026 World Cup training camp at Bentley University - Yahoo Sports
