pubDate,title
2026-04-28 19:15:29,"Thunder 131-122 Suns (Apr 27, 2026) Final Score - ESPN"
2026-04-28 02:05:10,"Oklahoma City Thunder vs Phoenix Suns Apr 27, 2026 Box Scores - NBA"
2026-04-28 16:50:01,Thunder playoff tickets go on sale Wednesday as OKC advances to Western Conference semifinals - News 9
2026-04-28 21:30:00,OKC Thunder Prove Ability to Win in Various Ways in Game 4 vs. Suns - Sports Illustrated
2026-04-28 13:06:29,4 takeaways: Thunder sweep Suns out of the playoffs in Game 4 - NBA
2026-04-28 19:53:00,"Midtown OKC to get giant cake sculpture, see renderings - The Oklahoman"
2026-04-27 21:58:19,Dozens of OKC companies seek employees of all skill levels - KFOR.com
2026-04-27 22:00:00,Biggest Thunder superpower is something not even the Spurs can replicate - Thunderous Intentions
2026-04-28 05:27:28,"NBA Playoff Bracket 2026, Updated Picture, Schedule After Thunder Eliminate Suns - Bleacher Report"
2025-09-24 16:04:43,Phoenix Suns - Oklahoma City Thunder 122:131 - Flashscore.com
2026-04-28 19:27:00,Thunder advance to Western Conference semifinals after sweeping Suns: What's next? - KOCO
2026-04-28 17:15:00,Shai Gilgeous-Alexander shows Dillon Brooks love after OKC swept Suns - OKC Thunder Wire
2026-04-28 06:07:53,Suns close the year pushing champion Thunder to their best - Arizona Sports
2026-04-28 15:07:00,"HoopsHype Daily: Nikola Jokic back at his best, Shai Gilgeous-Alexander leads OKC sweep - HoopsHype"
2026-04-26 18:09:11,Tulsa man crosses finish line first in OKC Memorial Marathon Men's race - KTUL
2026-04-25 22:20:02,Thunder-Suns takeaways: Phoenix is proving to be no match for Shai Gilgeous-Alexander and Oklahoma City - Yahoo Sports
2026-04-26 12:06:08,E60’s ‘The Oklahoma Standard’ tells OKC’s NBA triumph following an infamous tragedy - Awful Announcing
2026-04-26 14:34:44,Tulsa native Steven Baker wins OKC Memorial Marathon Men’s Race - News On 6
2026-04-27 00:35:00,"Suns finding answers, but running out of time vs OKC in playoff series - azcentral.com and The Arizona Republic"
2026-04-27 23:40:12,Oklahoma nurse jumps in to help after runner collapses near OKC Memorial Marathon finish line - News 9
2026-04-28 18:05:07,"Thunder 119-84 Suns (Apr 19, 2026) Final Score - ESPN"
2026-04-27 11:41:55,No injuries reported after NW OKC police chase ends in crash - News 9
2026-04-28 08:32:16,Veteran Standouts Lead OKC Thunder to Series Sweep Over Suns - Yardbarker
2026-04-27 03:30:00,Former OKC Memorial Marathon champion returns at 8 months pregnant - KFOR.com
2026-04-28 05:40:20,Thunder sweep over Suns reveals Ajay Mitchell truth NBA should be terrified of - Thunderous Intentions
2026-04-25 07:00:00,"Oklahoma City Thunder vs Phoenix Suns Apr 25, 2026 Game Summary - NBA"
