pubDate,title
2026-04-28 04:01:51,Iran’s economy was in a dire state before the war. Now millions face job losses and poverty - CNN
2026-04-28 01:31:00,"Florida’s unemployment rate rises, triggering concerns - WFTV"
2026-04-27 15:04:52,Atlanta podcaster sentenced to federal prison for unemployment benefit fraud scheme - CBS News
2026-04-27 21:44:38,"Improper payments rose to $183B in 2025, but it’s not all bad news - Federal News Network"
2026-04-28 07:30:38,Spain’s Jobless Rate Increases the Most Since the Pandemic - Bloomberg
2026-04-28 00:40:03,"Despite economic boost from sales tax and home prices, Wyoming, Natrona County unemployment rates up - Oil City News"
2026-04-26 09:07:00,I thought I'd retire from Intel. Then I got laid off in my 60s — and I'm still struggling to find a job. - Business Insider
2026-04-27 16:49:16,Is Las Vegas facing its worst job market in 2026 since 2008? - The Nevada Independent
2026-04-25 16:40:00,West Lebanon man faces unemployment fraud charges - Valley News
2026-04-28 12:05:49,Unemployment surpasses 10% for first time in three years - Catalan News (in English)
2026-04-28 07:49:00,Spain’s Unemployment Rate Rebounded Above 10% in First Quarter - WSJ
2026-04-28 15:21:00,"Mother, daughter sentenced in $2M Ohio pandemic unemployment fraud scheme - WTAP"
2026-04-23 22:33:59,Kansas sends letters telling people to repay $67.4M in unemployment benefits dating to the pandemic - Kansas Reflector
2026-04-28 12:00:33,79 Tennessee counties report unemployment rates below 5 percent - Main Street Media of Tennessee
2026-04-28 23:00:00,Unemployment moves from 4.5% in January to 4.7% in February in Indiana County - Indiana Gazette Online
2026-04-28 12:00:04,Have you received an overpayment notice from Colorado’s unemployment office? The Denver Post wants to talk to you. - The Denver Post
2026-04-28 14:56:35,Understanding the Recent Declines in SNAP Participation - American Enterprise Institute - AEI
2026-04-23 15:15:41,Congress Wanted to Protect People Living in Areas with High Unemployment from Losing Health Care Due to Work Reporting Requirements. Will it Actually Happen? - Georgetown University
2026-04-23 01:01:27,Montana’s Unemployment Rate Remains at 3.6% - State of Montana Newsroom (.gov)
2026-04-27 13:14:31,"Former Georgia House Rep. Karen Bennett sentenced to time served, ordered to pay $13,000 in COVID unemployment fraud case - CBS News"
2026-04-27 23:05:59,"Alaska Employment: Job Growth Doubles in February, Unemployment Rate Flat at 4.7% - Alaska Business Magazine"
2026-04-28 16:02:30,"Unemployment info out for Feb., continuing catch up from government sh... - The Clanton Advertiser"
2026-04-28 14:16:04,UF survey shows consumer sentiment rattled by economic turmoil in April - Florida Politics
2026-04-28 10:41:23,"Unemployment in Spain Rises by 231,500 in Q1, the Largest Increase Since 2013, with Public Employment at Record Highs - The Corner .eu"
2026-04-27 18:53:00,"Despite economic boost from tourism and mining taxes, Wyoming, Laramie County unemployment rates up - Cap City News"
2026-04-22 12:00:00,Iowa’s Unemployment Rate Holds Steady at 3.4 Percent In February - Iowa Workforce Development (.gov)
2026-04-27 21:46:42,New unemployment filings in Florida dip in latest data report - Florida Politics
2026-04-28 14:07:57,Are We Facing an AI Nightmare? - The University of Chicago Booth School of Business
2026-04-28 19:26:26,War With U.S. And Israel Pushes Millions Of Iranians Toward Unemployment As Economy Tanks - International Business Times
2026-04-28 08:04:57,China’s Q1 urban job creation hits 2.99M as unemployment steadies at 5.3% - Seeking Alpha
2026-04-27 10:07:53,State unemployment rate rises but still lowest in the country - Honolulu Star-Advertiser
2026-04-28 02:58:00,Gearing up for growth of manufacturing jobs across Las Vegas - FOX5 Vegas
2026-04-27 22:31:45,"KDOL Sends Overpayment Notices to More Than 8,500 Unemployment Claimants Amid System Update - KCLY Radio"
2026-04-28 16:40:28,Two Former ODJFS Workers Sentenced in Pandemic Unemployment Fraud Case - 95.3 WKTN
2026-04-16 07:00:00,"Small Decrease in Payroll Jobs, Slight Increase in Unemployment Rate in February - Illinois.gov"
