Market Name,Best Lag,Best Lag Corr,FinBERT ROI (Lag 0),FinBERT Acc (Lag 0),NB ROI (Lag 0),NB Acc (Lag 0),FinBERT ROI (Lag 1),FinBERT Acc (Lag 1),NB ROI (Lag 1),NB Acc (Lag 1),FinBERT ROI (Best Lag),FinBERT Acc (Best Lag),Error
Apple CEO,-4,0.126,329.54,0.458,-94.9,0.429,456.09,0.542,-17.27,0.381,359.32,0.583,
Celtics,-5,-0.422,-11.11,0.417,-4.92,0.6,-7.39,0.636,3.91,0.5,21.16,0.667,
Spurs,-24,-0.4447,2.14,0.643,14.43,0.533,-26.07,0.357,24.44,0.8,2.73,0.333,
OKC,-21,-0.4922,-4.27,0.667,-18.06,0.545,-7.18,0.417,-4.96,0.6,-2.09,0.0,
England,-23,-0.5682,2.75,0.32,-0.01,0.423,4.4,0.24,5.98,0.36,-8.2,0.143,
France,-19,-0.4122,1.05,0.44,15.5,0.577,1.95,0.52,11.42,0.52,5.73,0.667,
Spain,-10,-0.3401,-0.79,0.333,0.25,0.333,-1.52,0.381,0.18,0.529,0.85,0.375,
Gas Price,2,0.5933,177.75,0.0,-80.54,0.333,246.83,1.0,-54.96,0.333,50.09,0.5,
Jobless Claims,0,-0.48,18.17,0.2,-28.92,0.8,20.95,0.25,-31.42,0.75,18.17,0.2,
Kevin Warsh,0,0.7189,-0.87,0.5,-7.85,0.333,-1.03,0.5,-1.03,0.5,-0.87,0.5,
Rick Rieder,11,0.5222,278.24,0.75,-92.97,0.4,238.76,1.0,-86.16,0.5,-17.66,0.75,
